"","Month","Title","Employed"
"743",2000 Nov,"Total Private",112421
"744",2000 Dec,"Total Private",112395
"745",2001 Jan,"Total Private",109928
"746",2001 Feb,"Total Private",110140
"747",2001 Mar,"Total Private",110603
"748",2001 Apr,"Total Private",110962
"749",2001 May,"Total Private",111624
"750",2001 Jun,"Total Private",112303
"751",2001 Jul,"Total Private",111897
"752",2001 Aug,"Total Private",111827
"753",2001 Sep,"Total Private",111086
"754",2001 Oct,"Total Private",110771
"755",2001 Nov,"Total Private",110423
"756",2001 Dec,"Total Private",110065
"757",2002 Jan,"Total Private",107591
"758",2002 Feb,"Total Private",107651
"759",2002 Mar,"Total Private",108133
"760",2002 Apr,"Total Private",108712
"761",2002 May,"Total Private",109382
"762",2002 Jun,"Total Private",110169
"763",2002 Jul,"Total Private",109904
"764",2002 Aug,"Total Private",109960
"765",2002 Sep,"Total Private",109510
"766",2002 Oct,"Total Private",109668
"767",2002 Nov,"Total Private",109651
"768",2002 Dec,"Total Private",109302
"769",2003 Jan,"Total Private",107035
"770",2003 Feb,"Total Private",107069
"771",2003 Mar,"Total Private",107473
"772",2003 Apr,"Total Private",108148
"773",2003 May,"Total Private",108923
"774",2003 Jun,"Total Private",109652
"775",2003 Jul,"Total Private",109453
"776",2003 Aug,"Total Private",109551
"777",2003 Sep,"Total Private",109280
"778",2003 Oct,"Total Private",109530
"779",2003 Nov,"Total Private",109586
"780",2003 Dec,"Total Private",109471
"781",2004 Jan,"Total Private",107283
"782",2004 Feb,"Total Private",107491
"783",2004 Mar,"Total Private",108386
"784",2004 Apr,"Total Private",109485
"785",2004 May,"Total Private",110409
"786",2004 Jun,"Total Private",111299
"787",2004 Jul,"Total Private",111249
"788",2004 Aug,"Total Private",111249
"789",2004 Sep,"Total Private",110920
"790",2004 Oct,"Total Private",111375
"791",2004 Nov,"Total Private",111476
"792",2004 Dec,"Total Private",111368
"793",2005 Jan,"Total Private",109086
"794",2005 Feb,"Total Private",109487
"795",2005 Mar,"Total Private",110230
"796",2005 Apr,"Total Private",111429
"797",2005 May,"Total Private",112237
"798",2005 Jun,"Total Private",113352
"799",2005 Jul,"Total Private",113361
"800",2005 Aug,"Total Private",113579
"801",2005 Sep,"Total Private",113182
"802",2005 Oct,"Total Private",113434
"803",2005 Nov,"Total Private",113840
"804",2005 Dec,"Total Private",113748
"805",2006 Jan,"Total Private",111593
"806",2006 Feb,"Total Private",112051
"807",2006 Mar,"Total Private",112919
"808",2006 Apr,"Total Private",113825
"809",2006 May,"Total Private",114640
"810",2006 Jun,"Total Private",115574
"811",2006 Jul,"Total Private",115494
"812",2006 Aug,"Total Private",115652
"813",2006 Sep,"Total Private",115230
"814",2006 Oct,"Total Private",115425
"815",2006 Nov,"Total Private",115676
"816",2006 Dec,"Total Private",115670
"817",2007 Jan,"Total Private",113360
"818",2007 Feb,"Total Private",113581
"819",2007 Mar,"Total Private",114373
"820",2007 Apr,"Total Private",115162
"821",2007 May,"Total Private",116088
"822",2007 Jun,"Total Private",116999
"823",2007 Jul,"Total Private",116815
"824",2007 Aug,"Total Private",116813
"825",2007 Sep,"Total Private",116369
"826",2007 Oct,"Total Private",116541
"827",2007 Nov,"Total Private",116711
"828",2007 Dec,"Total Private",116559
"829",2008 Jan,"Total Private",114018
"830",2008 Feb,"Total Private",114051
"831",2008 Mar,"Total Private",114538
"832",2008 Apr,"Total Private",115065
"833",2008 May,"Total Private",115607
"834",2008 Jun,"Total Private",116185
"835",2008 Jul,"Total Private",115857
"836",2008 Aug,"Total Private",115658
"837",2008 Sep,"Total Private",114775
"838",2008 Oct,"Total Private",114505
"839",2008 Nov,"Total Private",113710
"840",2008 Dec,"Total Private",112815
"841",2009 Jan,"Total Private",109571
"842",2009 Feb,"Total Private",108938
"843",2009 Mar,"Total Private",108715
"844",2009 Apr,"Total Private",108765
"845",2009 May,"Total Private",109107
"846",2009 Jun,"Total Private",109386
"847",2009 Jul,"Total Private",109073
"848",2009 Aug,"Total Private",108882
"849",2009 Sep,"Total Private",108298
"850",2009 Oct,"Total Private",108283
"851",2009 Nov,"Total Private",108229
"852",2009 Dec,"Total Private",107850
"853",2010 Jan,"Total Private",105444
"854",2010 Feb,"Total Private",105490
"855",2010 Mar,"Total Private",106176
"856",2010 Apr,"Total Private",107220
"857",2010 May,"Total Private",107931
"858",2010 Jun,"Total Private",108710
"859",2010 Jul,"Total Private",108784
"860",2010 Aug,"Total Private",108936
"861",2010 Sep,"Total Private",108568
"862",2010 Oct,"Total Private",108984
"863",2010 Nov,"Total Private",109180
"864",2010 Dec,"Total Private",109034
"865",2011 Jan,"Total Private",106650
"866",2011 Feb,"Total Private",107087
"867",2011 Mar,"Total Private",107904
"868",2011 Apr,"Total Private",109098
"869",2011 May,"Total Private",109874
"870",2011 Jun,"Total Private",110795
"871",2011 Jul,"Total Private",110848
"872",2011 Aug,"Total Private",111022
"873",2011 Sep,"Total Private",110788
"874",2011 Oct,"Total Private",111199
"875",2011 Nov,"Total Private",111452
"876",2011 Dec,"Total Private",111428
"877",2012 Jan,"Total Private",109303
"878",2012 Feb,"Total Private",109796
"879",2012 Mar,"Total Private",110623
"880",2012 Apr,"Total Private",111505
"881",2012 May,"Total Private",112367
"882",2012 Jun,"Total Private",113155
"883",2012 Jul,"Total Private",113171
"884",2012 Aug,"Total Private",113345
"885",2012 Sep,"Total Private",113004
"886",2012 Oct,"Total Private",113391
"887",2012 Nov,"Total Private",113681
"888",2012 Dec,"Total Private",113719
"889",2013 Jan,"Total Private",111349
"890",2013 Feb,"Total Private",111903
"891",2013 Mar,"Total Private",112645
"892",2013 Apr,"Total Private",113633
"893",2013 May,"Total Private",114574
"894",2013 Jun,"Total Private",115441
"895",2013 Jul,"Total Private",115528
"896",2013 Aug,"Total Private",115735
"897",2013 Sep,"Total Private",115368
"898",2013 Oct,"Total Private",115826
"899",2013 Nov,"Total Private",116229
"900",2013 Dec,"Total Private",116113
"901",2014 Jan,"Total Private",113809
"902",2014 Feb,"Total Private",114119
"903",2014 Mar,"Total Private",114962
"904",2014 Apr,"Total Private",116051
"905",2014 May,"Total Private",117010
"906",2014 Jun,"Total Private",117987
"907",2014 Jul,"Total Private",118155
"908",2014 Aug,"Total Private",118331
"909",2014 Sep,"Total Private",118002
"910",2014 Oct,"Total Private",118559
"911",2014 Nov,"Total Private",118910
"912",2014 Dec,"Total Private",119019
"913",2015 Jan,"Total Private",116688
"914",2015 Feb,"Total Private",117084
"915",2015 Mar,"Total Private",117751
"916",2015 Apr,"Total Private",118874
"917",2015 May,"Total Private",119859
"918",2015 Jun,"Total Private",120751
"919",2015 Jul,"Total Private",120963
"920",2015 Aug,"Total Private",120966
"921",2015 Sep,"Total Private",120524
"922",2015 Oct,"Total Private",121199
"923",2015 Nov,"Total Private",121509
"924",2015 Dec,"Total Private",121603
"925",2016 Jan,"Total Private",119108
"926",2016 Feb,"Total Private",119506
"927",2016 Mar,"Total Private",120262
"928",2016 Apr,"Total Private",121330
"929",2016 May,"Total Private",122017
"930",2016 Jun,"Total Private",123116
"931",2016 Jul,"Total Private",123248
"932",2016 Aug,"Total Private",123299
"933",2016 Sep,"Total Private",122929
"934",2016 Oct,"Total Private",123391
"935",2016 Nov,"Total Private",123702
"936",2016 Dec,"Total Private",123631
"937",2017 Jan,"Total Private",121222
"938",2017 Feb,"Total Private",121798
"939",2017 Mar,"Total Private",122385
"940",2017 Apr,"Total Private",123382
"941",2017 May,"Total Private",124276
"942",2017 Jun,"Total Private",125324
"943",2017 Jul,"Total Private",125404
"944",2017 Aug,"Total Private",125488
"945",2017 Sep,"Total Private",124869
"946",2017 Oct,"Total Private",125461
"947",2017 Nov,"Total Private",125902
"948",2017 Dec,"Total Private",125785
"949",2018 Jan,"Total Private",123203
"950",2018 Feb,"Total Private",123968
"951",2018 Mar,"Total Private",124601
"952",2018 Apr,"Total Private",125581
"953",2018 May,"Total Private",126610
"954",2018 Jun,"Total Private",127701
"955",2018 Jul,"Total Private",127775
"956",2018 Aug,"Total Private",127949
"957",2018 Sep,"Total Private",127333
"958",2018 Oct,"Total Private",128001
"959",2018 Nov,"Total Private",128415
"960",2018 Dec,"Total Private",128363
"961",2019 Jan,"Total Private",125932
"962",2019 Feb,"Total Private",126370
"963",2019 Mar,"Total Private",126994
"964",2019 Apr,"Total Private",128007
"965",2019 May,"Total Private",128771
"966",2019 Jun,"Total Private",129800
"967",2019 Jul,"Total Private",129883
"968",2019 Aug,"Total Private",129930
"969",2019 Sep,"Total Private",129312
